TIMESTAMP X(deg/sec) Y(deg/sec) Z(deg/sec)
805127918280622592 2.1 -0.56 97.16
805127918357545728 1.33 0.07 103.67
805127918434468736 1.75 0.07 112.21
805127918511391872 2.8700001 -1.6800001 118.23
805127918588314880 1.89 0.63 106.54
805127918665238016 2.03 -0.77 130.62
805127918742161024 1.89 1.05 105.28
805127918819084160 1.47 -0.35 90.58
805127918896007168 1.89 1.19 93.03
805127918972930304 1.33 0.0 93.03
805127919049853312 1.54 0.7 100.66
805127919126776448 2.52 0.28 127.19
805127919203699456 2.8 -0.21000001 165.2
805127919280622592 3.64 1.4 178.01
805127919357545728 2.94 0.28 170.03
805127919434468736 2.59 0.0 183.68001
805127919511391819 3.29 -0.7 175.56
805127919587726336 2.31 0.7 154.63
805127919664060800 1.96 0.91 137.97
805127919740395392 1.89 0.35 140.42
805127919816729856 3.99 -0.63 152.46
805127919893064320 3.85 -0.07 178.36
805127919969398784 4.13 -0.14 167.37
805127920045733376 3.43 -0.56 151.41
805127920122067840 3.85 0.07 150.43001
805127920198402304 2.24 -0.49 145.6
805127920274736768 2.24 0.42000002 126.63
805127920351071360 1.26 0.07 107.31
805127920427405824 0.98 -0.14 99.96
805127920503740288 2.1 -1.05 98.77
805127920580074880 3.08 -2.24 97.37
805127920656409344 3.5 -1.6800001 104.93
805127920732743808 1.89 0.28 99.61
805127920809078272 1.26 -1.82 77.77
805127920885412864 1.26 1.12 66.71
805127920961747328 0.0 -4.48 60.48
805127921038081792 0.07 -2.45 36.82
805127921114416256 -0.77 -1.82 2.38
805127921190750848 -0.84000003 -1.19 -0.63
805127921267085312 -0.91 -1.96 -0.49
805127921343419776 -0.42000002 -2.03 7.0
805127921419754368 -0.84000003 -1.33 0.07
805127921496088832 -0.84000003 -1.61 -0.7
805127921572423296 -0.84000003 -1.61 -0.7
805127921648757760 -0.84000003 -1.61 -0.7
805127921725092352 -0.84000003 -1.54 -0.63
805127921801426816 -0.84000003 -1.61 -0.63
805127921877761280 -0.84000003 -1.61 -0.63
805127921954095744 -0.84000003 -1.54 -0.63
805127922030430336 -0.84000003 -1.61 -0.7
805127922106764800 -0.84000003 -1.54 -0.63
805127922183099264 -0.84000003 -1.61 -0.63
805127922259433856 -0.84000003 -1.61 -0.7
805127922335768320 -0.84000003 -1.54 -0.7
805127922412102784 -0.84000003 -1.61 -0.7
805127922488437248 -0.84000003 -1.61 -0.7
805127922564771840 -0.84000003 -1.54 -0.7
805127922641106304 -0.84000003 -1.54 -0.7
805127922717440768 -0.84000003 -1.61 -0.63
805127922793775232 -0.84000003 -1.61 -0.7
805127922870109824 -0.77 -1.54 0.14
805127922946444288 -0.21000001 0.14 26.53
805127923022778752 -0.07 -0.56 24.85
805127923099113344 -0.77 -1.47 3.08
805127923175447808 0.63 1.61 59.010002
805127923251782272 1.82 0.21000001 97.090004
805127923328116736 2.73 -0.14 137.41
805127923404451328 3.85 3.01 191.1
805127923480785792 6.16 1.26 253.33
805127923557120256 2.66 -1.19 268.66
805127923633454720 1.61 0.98 165.9
805127923709789312 -1.47 -0.07 49.84
805127923786123776 -0.91 -1.47 2.03
805127923862458240 5.7400002 -1.96 115.78
805127923938792832 2.1 0.77 193.13
805127924015127296 2.45 1.05 176.96
805127924091461760 3.08 0.0 168.7
805127924167796224 3.85 0.28 169.47
805127924244130816 3.22 0.42000002 156.52
805127924320465280 5.46 1.47 143.08
805127924396799744 2.31 0.07 118.86
805127924473134208 2.73 0.21000001 117.67
805127924549468800 2.03 0.28 125.16
805127924625803264 2.1 0.42000002 139.02
805127924702137728 0.07 -0.7 144.97
805127924778472320 3.5 1.96 147.28
805127924854806741 1.4 -1.12 129.64
805127924931142272 1.54 -0.21000001 124.6
805127925007477760 1.96 0.77 113.26
805127925083813120 2.03 0.7 116.48
805127925160148608 2.03 0.42000002 108.92
805127925236483968 2.03 0.77 108.57
805127925312819456 1.54 0.98 122.15
805127925389154944 1.47 1.05 112.98
805127925465490304 1.82 0.56 110.04
805127925541825792 0.07 -0.77 96.53
805127925618161152 0.98 -0.07 58.66
805127925694496640 0.07 -0.49 55.93
805127925770832128 -0.56 -1.12 63.420002
805127925847167488 -0.14 -1.33 64.19
805127925923502976 -0.28 -0.98 33.25
805127925999838336 -0.7 -1.26 15.4
805127926076173824 -0.84000003 -1.61 -0.7
805127926152509312 -0.84000003 -1.61 -0.7
805127926228844672 -0.84000003 -1.61 -0.7
805127926305180160 -0.84000003 -1.61 -0.7
805127926381515520 -0.56 -1.6800001 1.89
805127926457851008 9.59 -2.31 46.13
805127926534186496 -10.43 -2.52 8.89
805127926610521856 -0.07 0.63 2.24
805127926686857344 -0.56 -1.89 4.34
805127926763192704 -1.05 -1.33 2.17
805127926839528192 -0.98 -1.6800001 0.49
805127926915863680 -0.77 -1.4 -0.49
805127926992199040 -0.91 -1.6800001 -0.49
805127927068534528 -1.05 -1.96 1.19
805127927144869888 -0.98 -1.33 1.54
805127927221205376 -0.84000003 -1.33 -0.21000001
805127927297540864 -0.84000003 -1.54 1.05
805127927373876224 -0.84000003 -1.6800001 -1.89
805127927450211712 -0.91 -1.47 0.07
805127927526547072 -0.84000003 -1.6800001 -0.63
805127927602882560 -0.84000003 -1.61 -0.63
805127927679218048 -0.84000003 -1.61 -0.7
805127927755553408 -0.84000003 -1.54 -0.7
805127927831888896 -0.84000003 -1.61 -0.63
805127927908224256 -0.84000003 -1.61 -0.63
