w,x,y,z,time
0.9998707695855472,-0.005940257441213858,-0.014470376784843744,-0.0037102109970148125,4.538461568000001
0.99986638158846,-0.006033575993505193,-0.014716259615003629,-0.0037744712046606527,4.615384576
0.9998620347815965,-0.006125486835186921,-0.014955471293263056,-0.0038371463138278826,4.692307712
0.9998576187987656,-0.006217291225613678,-0.015194673301187131,-0.0038999132231647047,4.76923072
0.9998531331186706,-0.0063091360455994686,-0.015433873100960144,-0.003962645106421991,4.846153856
0.9998484916398349,-0.006400160112854469,-0.015678967375314417,-0.0040251333046958,4.923076864
0.9998438640192091,-0.006492029990235737,-0.015918196148616275,-0.0040880510169632655,5.0
0.9998391591889991,-0.00658393042334128,-0.016157609618115652,-0.004152019249031293,5.076923136
0.9998343849977704,-0.006675830309740589,-0.01639700744770798,-0.004215923690642727,5.153846144
0.9998295419457763,-0.0067675187866435525,-0.016636386964716532,-0.004279996580773953,5.2307692800000005
0.9998245108179459,-0.006859661153895297,-0.016882210366572926,-0.004345525244151846,5.307692288
0.9998193740884121,-0.006953652231404368,-0.01712869787494008,-0.004412893292300694,5.384615424000001
0.9998141501377353,-0.007048505091706015,-0.017375439153743087,-0.004480834134914294,5.461538432
0.9998088922256162,-0.007142804139991283,-0.017621879271302373,-0.004541887994163071,5.538461568000001
0.9998036790843032,-0.0072345748414263545,-0.017861530055138703,-0.0046075981210256835,5.615384576
0.9997984178194841,-0.007324965568142518,-0.018100745728006098,-0.004672430756216392,5.692307712000001
0.999793064043182,-0.00741643112783027,-0.01834041202322422,-0.004738663027732465,5.76923072
0.9997876273166844,-0.007508097270177681,-0.018580334243954316,-0.004806237534611853,5.846153856
0.9997821310885802,-0.007600994077234231,-0.01882055241494451,-0.0048684753066391565,5.923076864
0.9997765768298975,-0.007692799526278699,-0.01906055624876367,-0.004930765987984905,6.0
0.9997709428994243,-0.0077838626971503165,-0.019300207805530763,-0.004997518801526782,6.076923136
0.9997652719672203,-0.007873807267832942,-0.01953922371209536,-0.005061903213953432,6.153846144
0.9997596035015295,-0.00796097942249496,-0.01977746541992787,-0.005119558053475299,6.2307692800000005
0.9997538245875259,-0.008050047638653274,-0.0200164940810611,-0.005179471047544001,6.307692288
0.9997478905870564,-0.00814181257959102,-0.020256523919215095,-0.005247798906229857,6.384615424000001
0.9997417807731663,-0.008232510278541615,-0.020502312246640786,-0.005315330991855255,6.461538432
0.9997357355171607,-0.008322747874655166,-0.020741795717382494,-0.0053822772313477825,6.538461568000001
0.9997296242618413,-0.008412715580078563,-0.020981209125060823,-0.005449169982367562,6.615384576
0.9997234916749443,-0.008500162637572141,-0.02121979390701596,-0.005514324522181384,6.692307712000001
0.9997173139061767,-0.008586377114106513,-0.021457971172367345,-0.005578698543504417,6.76923072
0.9997110228508688,-0.008674773889556705,-0.021696903126345084,-0.005644774854742294,6.846153856000001
0.9997046342285859,-0.008763832777149249,-0.02193631382301382,-0.0057129390686405735,6.923076864
0.9996981889602757,-0.00885201656265287,-0.022175511560668697,-0.005780958341156266,7.0
0.9996915443735546,-0.008940157657895596,-0.02242068848890028,-0.005848283231238696,7.076923136
0.9996849463701338,-0.009029074918683613,-0.022660064279666173,-0.005916527182133877,7.153846144
0.9996782825878556,-0.009117638239764815,-0.022899375167001686,-0.005984865252046088,7.23076928
0.9996716097812905,-0.009202859302670676,-0.02313774001573782,-0.0060518563187351385,7.307692288
0.9996648239323223,-0.009289994339898697,-0.02337679505637428,-0.006120559648920313,7.384615424000001
0.9996579289962566,-0.009378004933377086,-0.023616459464638247,-0.006191999736746039,7.461538432
0.9996509034577697,-0.009468576469778694,-0.02385700211266943,-0.006265838004338043,7.538461568000001
0.9996437532867334,-0.00956153912408736,-0.02409828602886684,-0.006341616108067397,7.615384576
0.9996364900402247,-0.009657111596939636,-0.0243401042831462,-0.006417733178425037,7.692307712000001
0.9996291791089079,-0.00975168018365173,-0.0245815708232232,-0.006492717729072809,7.76923072
0.9996217598335115,-0.009848920168269468,-0.024823480497982178,-0.006567408532960807,7.846153856000001
0.9996141934271606,-0.009949726225488356,-0.025066313042179888,-0.006644335743794535,7.923076864
