time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
2.307692288,-1.82,0.91,-1.33,57.0,2.0,992.0,-0.38561538432000003,-0.14273076863999998,-0.38688461568
2.384615424,-1.82,0.91,-1.26,59.0,2.0,992.0,-0.38676923136,-0.14503846271999998,-0.38573076864
2.461538432,-1.82,0.91,-1.33,57.0,2.0,992.0,-0.3823846176,-0.14734615296,-0.38457692352
2.5384615680000002,-1.82,0.91,-1.33,60.0,1.0,991.0,-0.37430768832,-0.13984614719999997,-0.38457692352
2.6153845760000003,-1.82,0.91,-1.33,58.0,1.0,992.0,-0.36738461184,-0.126,-0.38526923136
2.6923077120000003,-1.82,0.91,-1.33,58.0,5.0,998.0,-0.37430769408000003,-0.126,-0.38411538432000003
2.7692307200000004,-1.82,0.91,-1.33,58.0,10.0,989.0,-0.3812307648,-0.13742306880000002,-0.38503846080000004
2.8461538560000004,-1.82,0.91,-1.33,54.0,4.0,989.0,-0.37984615296,-0.14111538432,-0.3855
2.923076864,-1.82,0.91,-1.33,56.0,5.0,992.0,-0.37638461184,-0.14053845888,-0.38480769408000004
3.0,-1.82,0.91,-1.33,56.0,5.0,993.0,-0.381,-0.144,-0.3825
3.076923136,-1.82,0.91,-1.33,54.0,6.0,988.0,-0.3867692352,-0.144,-0.38365384704
3.153846144,-1.82,0.91,-1.33,55.0,6.0,993.0,-0.38446153920000004,-0.13915384704,-0.38480769216
3.23076928,-1.82,0.91,-1.33,57.0,2.0,991.0,-0.381,-0.1354615392,-0.3855
3.307692288,-1.82,0.91,-1.33,59.0,4.0,988.0,-0.381,-0.13673076864,-0.38573076864
3.384615424,-1.82,0.91,-1.33,57.0,4.0,989.0,-0.381,-0.13903846272,-0.38803846272000003
3.461538432,-1.82,0.91,-1.33,55.0,4.0,988.0,-0.38192307648,-0.13765384704,-0.3885
3.5384615680000002,-1.82,0.84000003,-1.26,59.0,3.0,991.0,-0.3825,-0.13707692352,-0.38619230592
3.6153845760000003,-1.82,0.91,-1.33,57.0,3.0,991.0,-0.38226923136,-0.13846153728000002,-0.38273076864
3.6923077120000003,-1.82,0.91,-1.33,59.0,4.0,991.0,-0.38111538432000003,-0.14076923136,-0.38388461568
3.7692307200000004,-1.82,0.91,-1.33,59.0,2.0,990.0,-0.3851538432,-0.141,-0.3860769216
