TIMESTAMP X(mg) Y(mg) Z(mg)
805153306253365248 -2 1055 16
805153306329709312 -3 1058 17
805153306406053248 -4 1052 14
805153306482397312 -3 1058 14
805153306558741376 -2 1059 15
805153306635085312 -1 1057 16
805153306711429376 -1 1058 14
805153306787773440 -5 1055 16
805153306864117376 -2 1057 16
805153306940461440 -2 1055 18
805153307016805504 -4 1057 15
805153307093149440 -3 1056 15
805153307169493504 -3 1055 15
805153307245837440 -4 1057 17
805153307322181504 -4 1056 15
805153307398525446 -5 1057 17
805153307474869504 0 1057 15
805153307551213568 -4 1056 14
805153307627557632 -2 1057 14
805153307703901696 -4 1056 17
805153307780245760 -1 1057 15
805153307856589824 -5 1056 14
805153307932934016 -3 1056 15
805153308009278080 -3 1056 16
805153308085622144 -2 1056 16
805153308161966208 -5 1056 15
805153308238310272 -2 1056 17
805153308314654336 -5 1056 14
805153308390998400 -3 1056 16
805153308467342464 -2 1056 13
805153308543686528 -2 1059 12
805153308620030592 -4 1055 14
805153308696374656 -4 1056 15
805153308772718848 1 1057 17
805153308849062912 -4 1056 17
805153308925406976 -5 1057 13
805153309001751040 -3 1055 11
805153309078095104 -2 1057 12
805153309154439168 -1 1056 15
805153309230783232 -2 1056 13
805153309307127296 -5 1057 19
805153309383471360 -3 1056 15
805153309459815424 -9 1060 11
805153309536159488 -7 1056 10
805153309612503552 -2 1054 13
805153309688847744 1 1055 16
805153309765191808 -14 1054 6
805153309841535872 0 1055 11
805153309917879936 -1 1058 16
805153309994224000 -8 1059 1
805153310070568064 -11 1056 11
805153310146912128 -8 1048 34
805153310223256192 3 1055 4
805153310299600256 -6 1063 -13
805153310375944320 15 1050 0
805153310452288384 28 1051 14
805153310528632576 7 1042 23
805153310604976640 8 1047 -5
805153310681320704 -15 1069 25
805153310757664768 -15 1052 14
805153310834008832 9 1052 30
805153310910352896 -28 1039 23
805153310986696960 64 1023 56
805153311063041024 -26 1044 -22
805153311139385088 3 1041 21
805153311215729152 -3 1047 -14
805153311292073216 1 1047 9
805153311368417408 -14 1056 -5
805153311444761472 -6 1058 15
805153311521105536 -43 1059 -12
805153311597449600 -44 1063 -42
805153311673793664 1 1111 -42
805153311750137728 -38 1058 10
805153311826481792 -13 1057 28
805153311902825856 -2 1043 10
805153311979169920 -69 1065 -9
805153312055513984 6 1039 5
805153312131858048 -12 1072 4
805153312208202240 25 1036 52
805153312284546304 -51 1070 -28
805153312360890368 -8 1082 17
805153312437234432 -26 1039 40
805153312513578496 -38 1037 28
805153312589922560 -21 1094 -2
805153312666266624 14 1052 -31
805153312742610688 -26 1056 -16
805153312818954752 -56 1051 -10
805153312895298816 -23 1042 -14
805153312971642880 -68 1061 -3
805153313047986944 -22 1062 3
805153313124331136 -121 1056 23
805153313200675200 -71 1070 -9
805153313277019264 17 1044 21
805153313353363328 -22 1042 -27
805153313429707392 -42 1040 28
805153313506051456 -49 1067 9
805153313582395520 -60 1071 20
805153313658739584 -45 1061 28
805153313735083648 -105 1058 49
805153313811427712 -46 1073 37
805153313887771776 -48 1052 43
805153313964115968 -30 1015 47
805153314040460032 -77 1030 67
805153314116804096 42 1070 -6
805153314193148160 -147 1075 54
805153314269492224 41 1065 -45
805153314345836288 -25 1076 -15
805153314422180352 -104 974 193
805153314498524416 -9 1047 66
805153314574868480 -38 1083 -23
805153314651212544 -49 1063 61
805153314727556608 3 1038 5
805153314803900800 -56 1081 0
805153314880244864 -28 1062 22
805153314956588910 -53 1055 47
805153315032932864 -8 1072 17
805153315109276800 -43 1044 -18
805153315185620736 -18 1048 81
805153315261964544 -17 1062 21
805153315338308480 -43 1088 40
805153315414652416 -18 1036 51
805153315490996352 -25 1048 95
805153315567340160 -54 1067 45
805153315643684096 -37 1059 56
805153315720028032 -47 1083 13
805153315796371968 -56 1068 34
805153315872715904 -20 1051 27
805153315949059712 -95 1063 -47
805153316025403648 -73 1090 14
805153316101747584 -35 1075 42
805153316178091520 77 1046 70
805153316254435328 -40 1055 27
805153316330779264 -34 1057 29
805153316407123200 -22 1056 33
805153316483467136 -25 1057 34
805153316559810944 -24 1058 31
805153316636154880 -60 1011 59
805153316712498816 -88 1061 6
805153316788842752 -48 1053 29
805153316865186688 -26 1025 1
805153316941530496 -61 1050 28
805153317017874432 -7 1058 63
805153317094218368 53 1009 144
805153317170562304 -34 1082 12
805153317246906112 5 1053 63
805153317323250048 -47 1069 31
805153317399593984 -54 1071 8
805153317475937920 -5 1049 55
805153317552281856 -69 1107 76
805153317628625664 -68 1046 14
805153317704969600 14 1026 6
805153317781313536 -22 1092 36
805153317857657472 -117 1088 -12
805153317934001280 33 1049 75
805153318010345216 13 1025 28
805153318086689152 0 1028 0
805153318163033088 -61 1058 69
805153318239377024 0 1057 27
805153318315720832 -49 1046 52
805153318392064768 -10 1041 34
805153318468408704 -22 1071 34
805153318544752640 -121 1083 15
805153318621096448 -98 1136 62
805153318697440384 16 1019 6
805153318773784320 68 1040 -2
805153318850128256 -29 1053 -9
805153318926472064 18 1060 48
805153319002816000 2 1049 27
805153319079159936 23 1064 38
805153319155503872 50 1087 -21
805153319231847808 8 1032 44
805153319308191616 12 1041 22
805153319384535552 -110 1063 92
805153319460879488 8 1070 4
805153319537223424 10 1004 18
805153319613567232 42 1032 -9
805153319689911168 135 1063 15
805153319766255104 -13 1051 -14
805153319842599040 18 1054 35
805153319918942976 -3 1092 8
805153319995286784 65 1038 4
805153320071630720 71 1065 -38
805153320147974656 -70 1054 64
805153320224318592 -7 1066 2
805153320300662400 -13 1062 5
805153320377006336 2 998 72
805153320453350272 -13 1042 20
805153320529694208 16 1073 -14
805153320606038016 -14 1063 9
805153320682381952 -7 1056 16
805153320758725888 -36 1058 32
805153320835069824 -3 1061 14
805153320911413660 10 1046 63
805153320987757440 -5 1057 16
805153321064101248 -6 1054 18
805153321140445056 -7 1058 15
805153321216788864 -6 1056 16
805153321293132800 -8 1057 16
805153321369476608 -7 1056 14
805153321445820416 -7 1056 15
805153321522164224 -7 1056 16
805153321598508032 -7 1056 18
805153321674851840 -7 1057 16
805153321751195776 -5 1055 17
805153321827539584 -7 1057 17
805153321903883392 -7 1057 17
805153321980227200 -6 1057 21
805153322056571008 -8 1059 17
805153322132914816 -8 1056 12
805153322209258752 -8 1072 35
805153322285602560 -8 1053 16
805153322361946368 -7 1057 16
805153322438290176 -6 1057 18
805153322514633984 -9 1058 17
805153322590977792 -16 1064 11
805153322667321728 -4 1056 13
805153322743665536 -26 1058 0
805153322820009344 -10 1049 18
805153322896353152 35 1057 31
805153322972696960 -13 1063 4
805153323049040768 -20 1059 10
805153323125384704 -5 1036 11
805153323201728512 2 1074 26
805153323278072320 24 1078 60
805153323354416128 -57 1085 65
805153323430759936 -2 1043 45
805153323507103744 -45 1003 14
805153323583447680 -6 984 27
805153323659791488 16 1052 22
805153323736135296 13 1039 -4
805153323812479104 8 1077 -17
805153323888822912 28 1099 -1
805153323965166720 -16 1021 30
805153324041510528 -42 1092 28
805153324117854464 29 1119 -2
805153324194198272 -18 1065 0
805153324270542080 172 1028 25
805153324346885888 -17 1038 27
805153324423229696 -40 1033 29
805153324499573504 -65 1059 22
805153324575917440 -67 1109 86
805153324652261248 -119 984 30
805153324728605056 -60 1077 49
805153324804948864 -89 1026 9
805153324881292672 -71 1064 55
805153324957636480 -53 1071 3
805153325033980416 -36 1066 3
805153325110324224 6 1053 25
805153325186668032 -60 1115 -32
805153325263011840 -35 1058 19
805153325339355648 -29 1056 23
805153325415699456 -27 1057 22
805153325492043392 59 1042 64
805153325568387200 -137 1034 119
805153325644731008 50 1021 -5
805153325721074816 -66 1146 63
805153325797418624 48 1031 -40
805153325873762432 0 1028 19
805153325950106368 -16 1024 3
805153326026450176 -25 988 53
805153326102793984 -46 1060 128
805153326179137792 518 1086 43
805153326255481600 4 1069 53
805153326331825408 -74 1098 -29
805153326408169344 -52 1058 1
805153326484513152 -11 1100 -37
805153326560856960 -17 1057 63
805153326637200768 -52 1083 34
805153326713544576 -74 1069 47
805153326789888384 25 1043 -19
805153326866232320 -25 1061 -6
805153326942576128 63 1034 108
805153327018919936 0 1055 47
805153327095263744 24 1041 75
805153327171607552 -29 1056 23
805153327247951360 -4 1053 49
805153327324295168 64 1020 110
805153327400639104 -5 1064 110
805153327476982936 -10 1047 82
805153327553326336 -66 1075 -8
805153327629669760 -56 1059 35
805153327706013312 3 1067 74
805153327782356736 -47 1071 48
805153327858700288 -35 1060 29
805153327935043712 -1 1029 61
805153328011387264 35 1040 73
805153328087730688 -46 1053 24
805153328164074112 -12 1045 2
805153328240417664 28 1062 54
805153328316761088 -32 1092 53
805153328393104640 -9 1008 35
805153328469448064 -6 972 63
805153328545791488 114 1038 20
805153328622135040 -144 1172 6
805153328698478464 -58 1111 50
805153328774822016 3 1074 -4
805153328851165440 15 1029 59
805153328927508992 11 1052 -9
805153329003852416 -43 1056 12
805153329080195840 37 984 118
805153329156539392 -19 1014 143
805153329232882816 87 1016 21
805153329309226368 55 1024 12
805153329385569792 5 1083 45
805153329461913344 -4 1080 28
805153329538256768 -20 1041 33
805153329614600192 11 1024 -2
805153329690943744 -12 1067 4
805153329767287168 -27 1070 31
805153329843630720 -5 1053 33
805153329919974144 -11 1055 22
805153329996317696 -13 1053 26
805153330072661120 -16 1060 19
805153330149004544 -10 1054 24
805153330225348096 -12 1057 22
805153330301691520 -14 1058 24
805153330378035072 -12 1054 24
805153330454378496 -12 1056 26
805153330530721920 -11 1056 21
805153330607065472 -11 1056 21
805153330683408896 -11 1055 22
805153330759752448 -13 1057 23
805153330836095872 -12 1056 24
805153330912439424 -13 1056 22
805153330988782848 -11 1060 23
805153331065126272 -9 1057 23
805153331141469824 -9 1058 23
805153331217813248 -32 1057 16
805153331294156800 -12 1059 24
805153331370500224 -16 1048 38
805153331446843776 -2 1055 35
805153331523187200 -10 1058 19
805153331599530624 -23 1059 15
805153331675874176 15 1047 18
805153331752217600 -11 1055 24
805153331828561152 -10 1056 15
805153331904904576 -12 1048 42
805153331981248000 14 1055 46
805153332057591552 -10 1055 20
805153332133934976 -18 1060 35
805153332210278528 11 1065 37
805153332286621952 -39 1058 -24
805153332362965504 -16 1067 -2
805153332439308928 -4 1050 16
805153332515652352 -3 1054 34
805153332591995904 -25 1055 15
805153332668339328 20 1052 18
805153332744682880 -2 1116 25
805153332821026304 49 1044 132
805153332897369856 16 1075 35
805153332973713280 9 999 28
805153333050056704 28 1033 58
805153333126400256 21 1042 11
805153333202743680 -2 1057 13
805153333279087232 5 1067 16
805153333355430656 30 1089 64
805153333431774208 -151 1090 -37
805153333508117632 -20 983 10
805153333584461056 10 1054 37
805153333660804608 -56 1101 0
805153333737148032 -99 1077 -6
805153333813491584 -272 1128 31
805153333889835008 -53 1058 35
805153333966178432 -108 1082 -11
805153334042521984 -5 1064 15
805153334118865526 -42 1055 48
805153334195209344 -30 1080 4
805153334271553152 -19 1057 5
805153334347896960 -31 1060 24
805153334424240768 -16 1040 19
805153334500584704 -53 1061 44
805153334576928512 -24 1055 23
805153334653272320 -31 1057 25
805153334729616128 -27 1059 25
805153334805959936 62 1033 67
805153334882303744 73 1036 -8
805153334958647680 -1 1043 -23
805153335034991488 22 1029 -5
805153335111335296 21 1024 0
805153335187679104 -62 1051 30
805153335264022912 0 1028 71
805153335340366720 -83 1025 53
805153335416710656 128 1001 6
805153335493054464 -5 1066 100
805153335569398272 20 1050 51
805153335645742080 -50 1048 -93
805153335722085888 5 1030 91
805153335798429696 32 1001 59
805153335874773632 20 1087 32
805153335951117440 -44 1084 -2
805153336027461248 -32 1106 70
805153336103805056 -31 1091 160
805153336180148864 12 1051 58
805153336256492672 -39 1061 40
805153336332836608 -4 1078 46
805153336409180416 -3 1062 55
805153336485524224 24 1062 22
805153336561868032 -78 1122 -59
805153336638211840 -17 1056 118
805153336714555648 -30 1067 28
805153336790899584 -85 1077 57
805153336867243392 -58 1013 23
805153336943587200 -48 1050 98
805153337019931008 70 1009 7
805153337096274816 -165 1156 -22
805153337172618624 -99 1084 23
805153337248962432 -48 1065 62
805153337325306368 -60 1086 45
805153337401650176 -1 1037 85
805153337477993984 -4 1015 13
805153337554337792 -22 1037 47
805153337630681600 -8 1084 48
805153337707025408 -78 1111 23
805153337783369344 -44 1069 -15
805153337859713152 -69 1043 155
805153337936056960 -31 1058 49
805153338012400768 -23 1055 55
805153338088744576 -4 1054 44
805153338165088384 -38 1041 47
805153338241432320 1 1044 -5
805153338317776128 -7 1170 30
805153338394119936 96 1054 52
805153338470463744 -54 1051 41
805153338546807552 31 1061 -22
805153338623151360 -64 1057 36
805153338699495296 -49 1065 50
805153338775839104 8 1124 9
805153338852182912 -55 1030 86
805153338928526720 -5 1026 29
805153339004870528 -46 1106 72
805153339081214336 14 1026 14
805153339157558272 -74 1049 75
805153339233902080 -20 1041 75
805153339310245888 9 1037 77
805153339386589696 -38 1074 10
805153339462933504 -63 1073 -19
805153339539277312 -9 1070 33
805153339615621248 -34 1047 15
805153339691965056 80 1024 90
805153339768308854 -22 1058 25
805153339844652416 -26 1058 26
805153339920995968 -38 1058 20
805153339997339392 -8 1057 26
805153340073682944 -12 1055 32
805153340150026368 -14 1055 31
805153340226369920 -13 1054 34
805153340302713472 -13 1054 32
805153340379056896 -13 1055 33
805153340455400448 -15 1056 34
805153340531743872 -12 1056 33
805153340608087424 -12 1056 33
805153340684430976 -14 1057 34
805153340760774400 -14 1056 32
805153340837117952 -11 1054 32
805153340913461376 -12 1056 34
805153340989804928 -15 1058 36
805153341066148480 -13 1056 34
805153341142491904 -12 1055 34
805153341218835456 -12 1057 33
805153341295178880 -14 1054 31
805153341371522432 -13 1056 33
805153341447865984 -42 1075 20
805153341524209408 -13 1057 33
805153341600552960 -11 1058 31
805153341676896384 -14 1056 32
805153341753239936 -13 1057 33
805153341829583488 -13 1056 31
805153341905926912 -14 1055 33
805153341982270464 -14 1057 32
805153342058613888 -15 1060 32
805153342134957440 -11 1061 24
805153342211300992 -25 1050 41
805153342287644416 -13 1056 33
805153342363987968 -11 1055 33
805153342440331392 -13 1056 31
805153342516674944 -15 1053 32
805153342593018496 -8 1050 34
805153342669361920 -11 1055 32
805153342745705472 -26 1047 74
805153342822048896 -23 1067 44
805153342898392448 4 1074 38
805153342974736000 12 1063 31
805153343051079424 -13 1095 29
805153343127422976 13 1069 32
805153343203766400 36 1065 -18
805153343280109952 18 1060 4
805153343356453504 -5 1016 41
805153343432796928 -36 1074 21
805153343509140480 28 1040 54
805153343585483904 2 1058 -6
805153343661827456 2 1052 27
805153343738171008 -45 1067 85
805153343814514432 16 1037 8
805153343890857984 12 1060 48
805153343967201408 40 1046 1
805153344043544960 34 1040 18
805153344119888512 -51 1076 29
805153344196231936 -63 1063 74
805153344272575488 -17 1081 45
805153344348918912 -34 1088 77
