TIMESTAMP X(mg) Y(mg) Z(mg)
805151400424735232 -1034 -16 -87
805151400501070720 -1028 -22 -66
805151400577406080 -1025 -33 -60
805151400653741440 -1017 -25 -17
805151400730076800 -1019 -15 -39
805151400806412160 -1028 -36 -88
805151400882747648 -1021 -23 -76
805151400959083008 -1028 -28 -29
805151401035418368 -1024 -27 -47
805151401111753728 -1032 -47 -34
805151401188089088 -1026 -50 -21
805151401264424576 -1026 -33 -6
805151401340759936 -1035 -82 -104
805151401417095296 -1026 -16 -64
805151401493430656 -1016 1 -53
805151401569766016 -1027 1 -36
805151401646101504 -1030 -9 -51
805151401722436864 -901 -243 163
805151401798772224 -1024 -4 -52
805151401875107584 -1033 -14 -7
805151401951442944 -1028 -11 22
805151402027778432 -1014 -16 -95
805151402104113792 -1033 -36 -4
805151402180449152 -1022 -30 0
805151402256784512 -775 -24 128
805151402333119872 -1020 -102 36
805151402409455360 -1024 -76 28
805151402485790720 -957 -41 11
805151402562126080 -1023 -92 27
805151402638461440 -1021 -100 42
805151402714796800 -1027 -90 26
805151402791132288 -1031 -86 49
805151402867467596 -1022 -74 23
805151402943802496 -1028 -105 -2
805151403020137344 -1074 -98 -54
805151403096472064 -1025 -51 -10
805151403172806912 -1003 -93 -21
805151403249141760 -1024 -6 -18
805151403325476608 -1045 -28 23
805151403401811328 -1037 -3 -5
805151403478146176 -1058 -34 2
805151403554481024 -991 -30 45
805151403630815744 -995 39 -35
805151403707150592 -1035 13 -38
805151403783485440 -1089 -96 -88
805151403859820160 -1031 88 -13
805151403936155008 -1063 103 205
805151404012489856 -1023 113 -27
805151404088824704 -1039 84 -7
805151404165159424 -1034 98 10
805151404241494272 -1028 110 12
805151404317829120 -1036 95 -15
805151404394163840 -1032 32 -710
805151404470498688 -1036 80 -12
805151404546833536 -1029 105 0
805151404623168256 -1038 88 3
805151404699503104 -1030 94 21
805151404775837952 -1029 91 3
805151404852172800 -1034 87 23
805151404928507520 -1037 98 25
805151405004842368 -1024 117 2
805151405081177216 -1012 138 64
805151405157511936 -1042 103 -1
805151405233846784 -1004 199 81
805151405310181632 -1048 101 22
805151405386516352 -1018 148 34
805151405462851200 -1038 120 25
805151405539186048 -988 43 139
805151405615520896 -1011 158 -43
805151405691855616 -1048 125 52
805151405768190464 -1019 162 54
805151405844525312 -1028 129 60
805151405920860032 -1019 168 36
805151405997194880 -1040 139 44
805151406073529728 -1017 165 75
805151406149864576 -1042 122 50
805151406226199296 -1037 113 72
805151406302534144 -1004 110 123
805151406378868992 -1037 122 86
805151406455203712 -1032 149 -92
805151406531538560 -1027 141 23
805151406607873408 -1032 150 -5
805151406684208128 -1021 152 157
805151406760542976 -1024 182 -20
805151406836877824 -1022 146 47
805151406913212672 -1015 32 324
805151406989547392 -1022 127 100
805151407065882240 -1032 116 90
805151407142217088 -1028 130 72
805151407218551808 -1026 125 89
805151407294886656 -1026 125 81
805151407371221504 -1029 122 70
805151407447556224 -1030 127 65
805151407523891072 -1024 131 77
805151407600225920 -1027 122 64
805151407676560768 -1027 122 73
805151407752895488 -1029 112 87
805151407829230336 -1031 100 94
805151407905565184 -1029 99 71
805151407981899861 -1029 108 64
805151408058235904 -1037 98 68
805151408134571904 -1027 128 74
805151408210907904 -1022 140 100
805151408287243904 -1016 178 97
805151408363579776 -1014 190 12
805151408439915776 -1030 159 68
805151408516251776 -1023 187 85
805151408592587776 -999 241 -199
805151408668923776 -1000 189 108
805151408745259776 -1036 130 74
805151408821595776 -991 182 168
805151408897931648 -1010 166 99
805151408974267648 -1042 98 94
805151409050603648 -1027 154 50
805151409126939648 -1017 134 132
805151409203275648 -1036 129 17
805151409279611648 -1038 85 92
805151409355947648 -1033 89 -22
805151409432283520 -1027 141 252
805151409508619520 -1102 271 -178
805151409584955520 -1030 155 22
805151409661291520 -1030 136 63
805151409737627520 -1035 113 76
805151409813963520 -1030 123 20
805151409890299520 -1019 142 -10
805151409966635392 -1024 118 -60
805151410042971392 -1033 104 23
805151410119307392 -1039 108 19
805151410195643392 -989 105 -366
