TIMESTAMP X(mg) Y(mg) Z(mg)
805125901582653440 -27 1 1184
805125901658990790 -20 70 933
805125901735328512 -22 57 969
805125901811666176 14 -3 964
805125901888003968 -110 -43 1056
805125901964341632 -49 36 998
805125902040679424 -172 -46 1108
805125902117017088 -87 18 1253
805125902193354880 -50 55 1018
805125902269692544 -48 86 1001
805125902346030336 35 24 1017
805125902422368000 -34 88 987
805125902498705792 -50 18 1059
805125902575043456 -16 -27 1040
805125902651381248 -56 -32 1011
805125902727718912 -5 63 987
805125902804056704 5 19 983
805125902880394368 -53 70 1007
805125902956732160 -7 51 1022
805125903033069824 -14 94 1011
805125903109407616 -46 81 1004
805125903185745280 0 58 1005
805125903262083072 -3 60 1005
805125903338420736 1 59 1004
805125903414758528 0 61 1005
805125903491096192 -1 61 1001
805125903567433856 1 60 1004
805125903643771648 -1 60 1006
805125903720109312 0 61 1002
805125903796447104 -1 9 919
805125903872784768 2 -19 1072
805125903949122560 146 163 925
805125904025460224 1 51 594
805125904101798016 -6 -10 1054
805125904178135680 -40 76 1019
805125904254473472 -10 69 947
805125904330811136 1 59 942
805125904407148928 -21 62 1026
805125904483486592 65 30 936
805125904559824384 -78 -73 1120
805125904636162048 -68 36 925
805125904712499840 12 20 1019
805125904788837504 37 127 913
805125904865175296 -4 91 1074
805125904941512960 -44 24 1039
805125905017850752 23 42 971
805125905094188416 -21 45 1033
805125905170526208 -47 35 1034
805125905246863872 39 56 974
805125905323201536 -28 50 1033
805125905399539328 -45 23 1024
805125905475876992 -34 51 1019
805125905552214784 -16 73 1010
805125905628552448 3 57 1004
805125905704890240 3 58 1005
805125905781227904 3 59 1006
805125905857565696 3 56 1005
805125905933903360 2 56 1006
805125906010241152 5 57 1003
805125906086578816 3 54 1003
805125906162916608 60 28 1003
805125906239254272 17 75 1028
805125906315592064 -34 31 1003
805125906391929728 44 11 1025
805125906468267520 5 95 975
805125906544605184 32 27 967
805125906620942976 -5 3 1044
805125906697280640 -25 21 1099
805125906773618432 -6 -34 1098
805125906849956096 -41 -20 858
805125906926293888 -44 40 999
805125907002631552 8 45 957
